OBJECTID,LABEL,CATEGORY,ZONE_LABEL,DESCRIPTION,BLURB1,LINKTEXT1,HREF1,BLURB2,LINKTEXT2,HREF2,Shape__Area,Shape__Length
171,IPD - Roch Psych Center,Planned Development District,IPD - Roch Psych Center,Institutional Planned Development - Rochester Psychiatric Center,IPD Zoning Code is not available online.  Please contact the,Bureau of Planning and Zoning,http://www.cityofrochester.gov/planningandzoning/, , , ,502586.768867005,3749.12050001386
172,PD #21,Planned Development District,PD #21,PD Planned Development District #21 The Vistas at Highland,PD #21 Zoning Code is,available online,https://ecode360.com/34798421, , , ,189257.48359624,1848.10767714646
173,PD #11,Planned Development District,PD #11,PD Planned Development District #11 Citygate,PD #11 Zoning Code is,available online,https://ecode360.com/33553903, , , ,341821.25394237,2483.69566803618
174,IPD #12,Planned Development District,IPD #12,Institutional Planned Development #12 Iola,IPD Zoning Code is not available online.  Please contact the,Bureau of Planning and Zoning,http://www.cityofrochester.gov/planningandzoning/, , , ,295528.483327025,2380.57941715674
175,IPD #13,Planned Development District,IPD #13,Institutional Planned Development #13 Memorial Art Gallery,IPD Zoning Code is not available online.  Please contact the,Bureau of Planning and Zoning,http://www.cityofrochester.gov/planningandzoning/, , , ,121763.93603973,1513.08184772725
176,IPD #15,Planned Development District,IPD #15,Institutional Planned Development #15 Episcopal Church Home,IPD Zoning Code is not available online.  Please contact the,Bureau of Planning and Zoning,http://www.cityofrochester.gov/planningandzoning/, , , ,49542.179036635,982.087849919314
177,IPD #2,Planned Development District,IPD #2,Institutional Planned Development #2 Hillside Childrens Center,IPD Zoning Code is not available online.  Please contact the,Bureau of Planning and Zoning,http://www.cityofrochester.gov/planningandzoning/, , , ,177695.73595977,2538.08688053093
178,PD #4,Planned Development District,PD #4,PD Planned Development District #4 Rochester Museum & Science Center,PD #4 Zoning Code is,available online,https://ecode360.com/33553332, , , ,105001.51656517,1724.59326803925
179,PD #17,Planned Development District,PD #17,PD Planned Development District #17 Highland Hospital,PD #17 Zoning Code is,available online,https://ecode360.com/33554429, , , ,82284.64069621,1172.92232964667
180,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,80987.20352504,1581.32929381497
181,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,341270.08149992,2582.87515695598
182,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,155464.171078225,1699.15068638516
183,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,38518.203487345,1251.95918867306
184,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,8814.023988995,379.050766842177
185,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,452881.37139525,2757.14771722312
186,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,386731.935227755,4899.53332994447
187,Norton St URD,URD Urban Renewal District,Norton St URD,Norton Street Urban Renewal District,Norton St URD Zoning Code is,available online,http://ecode360.com/8681722, , , ,93221.053396205,1223.21436427394
188,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,171858.37359815,2291.04790047712
189,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,50636.473371175,1113.2745270676
190,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,191371.13887236,2512.24713773732
191,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,7153390.19002455,49881.4768773844
192,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,27290.617276195,711.898792210142
193,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,5419.504719525,318.685375404894
194,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,14568.746163295,483.160864626363
195,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,18373.659056725,596.402174014837
196,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,6372.313650155,325.622440912919
197,T-P,Parking,T-P,T-P Transitional Parking District,T-P Zoning Code is,available online,http://ecode360.com/documents/RO0104/RO0104-120a%20Appendix%201.pdf, , , ,11195.35993462,435.023657107438
198,Marketview Heights URD/O-S,URD Urban Renewal District,Marketview Heights URD/O-S,Marketview Heights Urban Renewal District / Open Space District,Marketview Heights URD Zoning Code is,available online,http://ecode360.com/8681722,O-S Zoning Code is,available online,http://ecode360.com/8681579,6269.704321605,332.505933223369
199,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,74793.34468023,1120.93520947034
200,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,412242.589641025,4376.31780207971
201,PMV,Village Center,PMV,Public Market Village District,PMV Zoning Code is,available online,http://ecode360.com/8681255, , , ,463206.82361716,5214.59614622123
202,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,57210.73914848,1215.11358437432
203,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,667563.61194482,4305.92217224417
204,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,990684.47987831,7771.42431991293
205,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,297419.312145945,2425.26499480684
206,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,2819700.19147883,17751.5431420682
